datetime,open,high,low,close,volume
2010-08-06,0.91525,0.9220800000000000,0.9134200000000000,0.918,0
2010-08-09,0.9186800000000000,0.9204600000000000,0.91525,0.91581,0
2010-08-10,0.91571,0.9163,0.9058200000000000,0.9125700000000000,0
2010-08-11,0.91271,0.91322,0.8931600000000000,0.89404,0
2010-08-12,0.8941,0.90065,0.89138,0.896,0
2010-08-13,0.89587,0.90338,0.8921,0.8926300000000000,0
2010-08-16,0.8931,0.89935,0.88584,0.89689,0
2010-08-17,0.89691,0.9078700000000000,0.89446,0.9053400000000000,0
2010-08-18,0.9052100000000000,0.9057300000000000,0.8972100000000000,0.89818,0
2010-08-19,0.89817,0.9016800000000000,0.89045,0.8915200000000000,0
2010-08-20,0.89161,0.89391,0.88408,0.8936800000000000,0
2010-08-23,0.8870100000000000,0.8981300000000000,0.8869800000000000,0.89044,0
2010-08-24,0.89046,0.89075,0.8799600000000000,0.8821900000000000,0
2010-08-25,0.88215,0.8893200000000000,0.8770700000000000,0.8851600000000000,0
2010-08-26,0.88513,0.8917,0.8831100000000000,0.8860900000000000,0
2010-08-27,0.88607,0.89976,0.88439,0.89874,0
2010-08-30,0.9012,0.9028700000000000,0.8912,0.89135,0
2010-08-31,0.89135,0.8955,0.88602,0.8925,0
2010-09-01,0.89239,0.91156,0.8910900000000000,0.91075,0
2010-09-02,0.91074,0.9119700000000000,0.9053200000000000,0.91059,0
2010-09-03,0.91056,0.91748,0.9066,0.9163,0
2010-09-06,0.91565,0.91804,0.91445,0.91669,0
2010-09-07,0.91669,0.9176800000000000,0.90917,0.91048,0
2010-09-08,0.9105200000000000,0.91927,0.90971,0.9184,0
2010-09-09,0.91845,0.92758,0.9169700000000000,0.92322,0
2010-09-10,0.92325,0.92674,0.9204200000000000,0.9263100000000000,0
2010-09-13,0.929,0.9361200000000000,0.92869,0.93466,0
2010-09-14,0.93466,0.9456600000000000,0.9312800000000000,0.93871,0
2010-09-15,0.9386900000000000,0.9428200000000000,0.93424,0.9375700000000000,0
2010-09-16,0.93755,0.9394300000000000,0.933,0.93591,0
2010-09-17,0.93585,0.9467700000000000,0.93494,0.93599,0
2010-09-20,0.9383,0.94932,0.936,0.9458,0
2010-09-21,0.9458,0.95629,0.94406,0.9531800000000000,0
2010-09-22,0.9532,0.9598900000000000,0.9508200000000000,0.9551700000000000,0
2010-09-23,0.9552,0.95737,0.9467,0.94894,0
2010-09-24,0.94894,0.96131,0.94629,0.9589800000000000,0
2010-09-27,0.96035,0.9643,0.9572700000000000,0.96029,0
2010-09-28,0.96036,0.9685600000000000,0.95585,0.9672800000000000,0
2010-09-29,0.96724,0.9728700000000000,0.9657100000000000,0.9681200000000000,0
2010-09-30,0.96815,0.97326,0.9623800000000000,0.96557,0
2010-10-01,0.96559,0.9749400000000000,0.96352,0.9724200000000000,0
2010-10-04,0.9726300000000000,0.97265,0.9652200000000000,0.96726,0
2010-10-05,0.9672200000000000,0.97249,0.95411,0.9708,0
2010-10-06,0.9708600000000000,0.97903,0.96926,0.9767100000000000,0
2010-10-07,0.9767300000000000,0.9915800000000000,0.97557,0.9812700000000000,0
2010-10-08,0.9812700000000000,0.9872,0.9708400000000000,0.9859,0
2010-10-11,0.9899,0.9905,0.9822,0.9833,0
2010-10-12,0.98334,0.9875300000000000,0.9766800000000000,0.9857800000000000,0
2010-10-13,0.9858100000000000,0.99351,0.98336,0.9895200000000000,0
2010-10-14,0.98954,0.9993,0.9894200000000000,0.99339,0
2010-10-15,0.99334,0.9998,0.98621,0.99054,0
2010-10-18,0.98972,0.9943200000000000,0.9800400000000000,0.98974,0
2010-10-19,0.98977,0.99565,0.9661200000000000,0.97105,0
